Fecha;Tipo vacuna;Territorio;Medida;Valor;
05/07/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
05/07/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12834302;
05/07/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,809054738085;
05/07/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
05/07/2022;Moderna;Andalucía;Dosis administradas ;3655605;
05/07/2022;Moderna;Andalucía;Porcentaje adm/recib;134,58823919238333;
05/07/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
05/07/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786901;
05/07/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,24388498568827;
05/07/2022;Janssen;Andalucía;Dosis recibidas ;333500;
05/07/2022;Janssen;Andalucía;Dosis administradas ;327765;
05/07/2022;Janssen;Andalucía;Porcentaje adm/recib;98,28035982008996;
05/07/2022;Novavax;Andalucía;Dosis recibidas ;10000;
05/07/2022;Novavax;Andalucía;Dosis administradas ;82;
05/07/2022;Novavax;Andalucía;Porcentaje adm/recib;0,8200000000000001;
24/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
24/06/2022;TOTAL;Andalucía;Dosis administradas ;18575748;
24/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,75431413772571;
24/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
24/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12807128;
24/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,59137766819426;
24/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
24/06/2022;Moderna;Andalucía;Dosis administradas ;3654089;
24/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,5324246909217;
24/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
24/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786741;
24/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,23347645068955;
24/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
24/06/2022;Janssen;Andalucía;Dosis administradas ;327714;
24/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,26506746626687;
24/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
24/06/2022;Novavax;Andalucía;Dosis administradas ;76;
24/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,76;
21/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
21/06/2022;TOTAL;Andalucía;Dosis administradas ;18563493;
21/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,68256552659265;
21/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
21/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12795985;
21/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,50211677212478;
21/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
21/06/2022;Moderna;Andalucía;Dosis administradas ;3653057;
21/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,49442959493987;
21/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
21/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786682;
21/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,2296383034088;
21/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
21/06/2022;Janssen;Andalucía;Dosis administradas ;327695;
21/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,25937031484257;
21/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
21/06/2022;Novavax;Andalucía;Dosis administradas ;74;
21/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,74;
17/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
17/06/2022;TOTAL;Andalucía;Dosis administradas ;18555973;
17/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,63853863506098;
17/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
17/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12789801;
17/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,45257989863525;
17/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
17/06/2022;Moderna;Andalucía;Dosis administradas ;3651780;
17/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,44741434535774;
17/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
17/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786639;
17/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,2268410096279;
17/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
17/06/2022;Janssen;Andalucía;Dosis administradas ;327682;
17/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,25547226386807;
17/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
17/06/2022;Novavax;Andalucía;Dosis administradas ;71;
17/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,7100000000000001;
14/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
14/06/2022;TOTAL;Andalucía;Dosis administradas ;18543697;
14/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,56666707649146;
14/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
14/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12779921;
14/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,37343625211577;
14/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
14/06/2022;Moderna;Andalucía;Dosis administradas ;3649456;
14/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,36185174549175;
14/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
14/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786589;
14/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,22358834244079;
14/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
14/06/2022;Janssen;Andalucía;Dosis administradas ;327661;
14/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,24917541229385;
14/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
14/06/2022;Novavax;Andalucía;Dosis administradas ;70;
14/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,7000000000000001;
10/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
10/06/2022;TOTAL;Andalucía;Dosis administradas ;18535256;
10/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,5172480616751;
10/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
10/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12773607;
10/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,32285801485625;
10/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
10/06/2022;Moderna;Andalucía;Dosis administradas ;3647390;
10/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,2857879196212;
10/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
10/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786548;
10/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,22092115534738;
10/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
10/06/2022;Janssen;Andalucía;Dosis administradas ;327643;
10/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,24377811094452;
10/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
10/06/2022;Novavax;Andalucía;Dosis administradas ;68;
10/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,6799999999999999;
07/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
07/06/2022;TOTAL;Andalucía;Dosis administradas ;18521422;
07/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,43625497424836;
07/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
07/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12763436;
07/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,2413833155901;
07/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
07/06/2022;Moderna;Andalucía;Dosis administradas ;3643867;
07/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,15608179254383;
07/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
07/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786440;
07/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,21389539422327;
07/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
07/06/2022;Janssen;Andalucía;Dosis administradas ;327614;
07/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,23508245877062;
07/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
07/06/2022;Novavax;Andalucía;Dosis administradas ;65;
07/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,65;
03/06/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
03/06/2022;TOTAL;Andalucía;Dosis administradas ;18512640;
03/06/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,38483952724954;
03/06/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
03/06/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12757215;
03/06/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,19155005395066;
03/06/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
03/06/2022;Moderna;Andalucía;Dosis administradas ;3641393;
03/06/2022;Moderna;Andalucía;Porcentaje adm/recib;134,06499664965722;
03/06/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
03/06/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786372;
03/06/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,20947176684882;
03/06/2022;Janssen;Andalucía;Dosis recibidas ;333500;
03/06/2022;Janssen;Andalucía;Dosis administradas ;327596;
03/06/2022;Janssen;Andalucía;Porcentaje adm/recib;98,22968515742129;
03/06/2022;Novavax;Andalucía;Dosis recibidas ;10000;
03/06/2022;Novavax;Andalucía;Dosis administradas ;64;
03/06/2022;Novavax;Andalucía;Porcentaje adm/recib;0,64;
31/05/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
31/05/2022;TOTAL;Andalucía;Dosis administradas ;18499135;
31/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,3057726163273;
31/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
31/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12748265;
31/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,11985616363188;
31/05/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
31/05/2022;Moderna;Andalucía;Dosis administradas ;3636943;
31/05/2022;Moderna;Andalucía;Porcentaje adm/recib;133,90116120671246;
31/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
31/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786297;
31/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,20459276606819;
31/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
31/05/2022;Janssen;Andalucía;Dosis administradas ;327567;
31/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,22098950524737;
31/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
31/05/2022;Novavax;Andalucía;Dosis administradas ;63;
31/05/2022;Novavax;Andalucía;Porcentaje adm/recib;0,63;
27/05/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
27/05/2022;TOTAL;Andalucía;Dosis administradas ;18491305;
27/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,25993078644791;
27/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
27/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12743461;
27/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,08137376708537;
27/05/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
27/05/2022;Moderna;Andalucía;Dosis administradas ;3634012;
27/05/2022;Moderna;Andalucía;Porcentaje adm/recib;133,79325071608974;
27/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
27/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786232;
27/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,20036429872496;
27/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
27/05/2022;Janssen;Andalucía;Dosis administradas ;327546;
27/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,21469265367317;
27/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
27/05/2022;Novavax;Andalucía;Dosis administradas ;54;
27/05/2022;Novavax;Andalucía;Porcentaje adm/recib;0,54;
24/05/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
24/05/2022;TOTAL;Andalucía;Dosis administradas ;18478078;
24/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,18249146539878;
24/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
24/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12735617;
24/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,01853947930208;
24/05/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
24/05/2022;Moderna;Andalucía;Dosis administradas ;3628762;
24/05/2022;Moderna;Andalucía;Porcentaje adm/recib;133,59996171036838;
24/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
24/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1786128;
24/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,1935987509758;
24/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
24/05/2022;Janssen;Andalucía;Dosis administradas ;327524;
24/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,20809595202398;
24/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
24/05/2022;Novavax;Andalucía;Dosis administradas ;47;
24/05/2022;Novavax;Andalucía;Porcentaje adm/recib;0,47000000000000003;
17/05/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
17/05/2022;TOTAL;Andalucía;Dosis administradas ;18456324;
17/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,05512963050784;
17/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
17/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12722140;
17/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;101,91058209831596;
17/05/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
17/05/2022;Moderna;Andalucía;Dosis administradas ;3620714;
17/05/2022;Moderna;Andalucía;Porcentaje adm/recib;133,30365886883592;
17/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
17/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1785958;
17/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,18253968253968;
17/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
17/05/2022;Janssen;Andalucía;Dosis administradas ;327473;
17/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,1928035982009;
17/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
17/05/2022;Novavax;Andalucía;Dosis administradas ;39;
17/05/2022;Novavax;Andalucía;Porcentaje adm/recib;0,38999999999999996;
13/05/2022;TOTAL;Andalucía;Dosis recibidas ;17578770;
13/05/2022;TOTAL;Andalucía;Dosis administradas ;18448849;
13/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;104,94960113819111;
13/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12386870;
13/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12717688;
13/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,67071503939252;
13/05/2022;Moderna;Andalucía;Dosis recibidas ;3319500;
13/05/2022;Moderna;Andalucía;Dosis administradas ;3617781;
13/05/2022;Moderna;Andalucía;Porcentaje adm/recib;108,98572074107547;
13/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1528900;
13/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1785881;
13/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,8082281378769;
13/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
13/05/2022;Janssen;Andalucía;Dosis administradas ;327462;
13/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,1895052473763;
13/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
13/05/2022;Novavax;Andalucía;Dosis administradas ;37;
13/05/2022;Novavax;Andalucía;Porcentaje adm/recib;0,37;
10/05/2022;TOTAL;Andalucía;Dosis recibidas ;17578770;
10/05/2022;TOTAL;Andalucía;Dosis administradas ;18435647;
10/05/2022;TOTAL;Andalucía;Porcentaje adm/recib;104,8744991828211;
10/05/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12386870;
10/05/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12709449;
10/05/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,60420106128505;
10/05/2022;Moderna;Andalucía;Dosis recibidas ;3319500;
10/05/2022;Moderna;Andalucía;Dosis administradas ;3612935;
10/05/2022;Moderna;Andalucía;Porcentaje adm/recib;108,83973489983431;
10/05/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1528900;
10/05/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1785796;
10/05/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,80266858525738;
10/05/2022;Janssen;Andalucía;Dosis recibidas ;333500;
10/05/2022;Janssen;Andalucía;Dosis administradas ;327431;
10/05/2022;Janssen;Andalucía;Porcentaje adm/recib;98,18020989505247;
10/05/2022;Novavax;Andalucía;Dosis recibidas ;10000;
10/05/2022;Novavax;Andalucía;Dosis administradas ;36;
