Fecha;Territorio;Tipo vacuna;Medida;Valor;
23/08/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113634;
23/08/2022;Huelva;Janssen;Dosis administradas;29880;
23/08/2022;Huelva;Novavax;Dosis administradas;;
23/08/2022;Jaén;TOTAL;Dosis administradas;1432744;
23/08/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1003761;
23/08/2022;Jaén;Moderna;Dosis administradas;260100;
23/08/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147533;
23/08/2022;Jaén;Janssen;Dosis administradas;21342;
23/08/2022;Jaén;Novavax;Dosis administradas;8;
23/08/2022;Málaga;TOTAL;Dosis administradas;3528827;
23/08/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2504952;
23/08/2022;Málaga;Moderna;Dosis administradas;642017;
23/08/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330224;
23/08/2022;Málaga;Janssen;Dosis administradas;51593;
23/08/2022;Málaga;Novavax;Dosis administradas;41;
23/08/2022;Sevilla;TOTAL;Dosis administradas;4377950;
23/08/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2986280;
23/08/2022;Sevilla;Moderna;Dosis administradas;911422;
23/08/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397712;
23/08/2022;Sevilla;Janssen;Dosis administradas;82524;
23/08/2022;Sevilla;Novavax;Dosis administradas;12;
16/08/2022;Andalucía;TOTAL;Dosis administradas;18698588;
16/08/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12924839;
16/08/2022;Andalucía;Moderna;Dosis administradas;3658149;
16/08/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787576;
16/08/2022;Andalucía;Janssen;Dosis administradas;327928;
16/08/2022;Andalucía;Novavax;Dosis administradas;96;
16/08/2022;Almería;TOTAL;Dosis administradas;1610909;
16/08/2022;Almería;Pfizer/BioNtech;Dosis administradas;1110150;
16/08/2022;Almería;Moderna;Dosis administradas;317835;
16/08/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148085;
16/08/2022;Almería;Janssen;Dosis administradas;34818;
16/08/2022;Almería;Novavax;Dosis administradas;21;
16/08/2022;Cádiz;TOTAL;Dosis administradas;2761132;
16/08/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1890544;
16/08/2022;Cádiz;Moderna;Dosis administradas;554353;
16/08/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;265022;
16/08/2022;Cádiz;Janssen;Dosis administradas;51204;
16/08/2022;Cádiz;Novavax;Dosis administradas;9;
16/08/2022;Córdoba;TOTAL;Dosis administradas;1809417;
16/08/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1261775;
16/08/2022;Córdoba;Moderna;Dosis administradas;337959;
16/08/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183741;
16/08/2022;Córdoba;Janssen;Dosis administradas;25939;
16/08/2022;Córdoba;Novavax;Dosis administradas;3;
16/08/2022;Granada;TOTAL;Dosis administradas;2033115;
16/08/2022;Granada;Pfizer/BioNtech;Dosis administradas;1381815;
16/08/2022;Granada;Moderna;Dosis administradas;418998;
16/08/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201663;
16/08/2022;Granada;Janssen;Dosis administradas;30637;
16/08/2022;Granada;Novavax;Dosis administradas;2;
16/08/2022;Huelva;TOTAL;Dosis administradas;1148268;
16/08/2022;Huelva;Pfizer/BioNtech;Dosis administradas;788979;
16/08/2022;Huelva;Moderna;Dosis administradas;215781;
16/08/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113629;
16/08/2022;Huelva;Janssen;Dosis administradas;29879;
16/08/2022;Huelva;Novavax;Dosis administradas;;
16/08/2022;Jaén;TOTAL;Dosis administradas;1432378;
16/08/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1003404;
16/08/2022;Jaén;Moderna;Dosis administradas;260094;
16/08/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147530;
16/08/2022;Jaén;Janssen;Dosis administradas;21342;
16/08/2022;Jaén;Novavax;Dosis administradas;8;
16/08/2022;Málaga;TOTAL;Dosis administradas;3527066;
16/08/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2503361;
16/08/2022;Málaga;Moderna;Dosis administradas;641876;
16/08/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330201;
16/08/2022;Málaga;Janssen;Dosis administradas;51587;
16/08/2022;Málaga;Novavax;Dosis administradas;41;
16/08/2022;Sevilla;TOTAL;Dosis administradas;4376303;
16/08/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2984811;
16/08/2022;Sevilla;Moderna;Dosis administradas;911253;
16/08/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397705;
16/08/2022;Sevilla;Janssen;Dosis administradas;82522;
16/08/2022;Sevilla;Novavax;Dosis administradas;12;
09/08/2022;Andalucía;TOTAL;Dosis administradas;18690939;
09/08/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12917572;
09/08/2022;Andalucía;Moderna;Dosis administradas;3657840;
09/08/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787514;
09/08/2022;Andalucía;Janssen;Dosis administradas;327917;
09/08/2022;Andalucía;Novavax;Dosis administradas;96;
09/08/2022;Almería;TOTAL;Dosis administradas;1610271;
09/08/2022;Almería;Pfizer/BioNtech;Dosis administradas;1109532;
09/08/2022;Almería;Moderna;Dosis administradas;317822;
09/08/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148079;
09/08/2022;Almería;Janssen;Dosis administradas;34817;
09/08/2022;Almería;Novavax;Dosis administradas;21;
09/08/2022;Cádiz;TOTAL;Dosis administradas;2760083;
09/08/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1889527;
09/08/2022;Cádiz;Moderna;Dosis administradas;554333;
09/08/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;265012;
09/08/2022;Cádiz;Janssen;Dosis administradas;51202;
09/08/2022;Cádiz;Novavax;Dosis administradas;9;
09/08/2022;Córdoba;TOTAL;Dosis administradas;1808868;
09/08/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1261243;
09/08/2022;Córdoba;Moderna;Dosis administradas;337958;
09/08/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183726;
09/08/2022;Córdoba;Janssen;Dosis administradas;25938;
09/08/2022;Córdoba;Novavax;Dosis administradas;3;
09/08/2022;Granada;TOTAL;Dosis administradas;2032272;
09/08/2022;Granada;Pfizer/BioNtech;Dosis administradas;1380996;
09/08/2022;Granada;Moderna;Dosis administradas;418980;
09/08/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201659;
09/08/2022;Granada;Janssen;Dosis administradas;30635;
09/08/2022;Granada;Novavax;Dosis administradas;2;
09/08/2022;Huelva;TOTAL;Dosis administradas;1147740;
09/08/2022;Huelva;Pfizer/BioNtech;Dosis administradas;788516;
09/08/2022;Huelva;Moderna;Dosis administradas;215720;
09/08/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113626;
09/08/2022;Huelva;Janssen;Dosis administradas;29878;
09/08/2022;Huelva;Novavax;Dosis administradas;;
09/08/2022;Jaén;TOTAL;Dosis administradas;1431871;
09/08/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1002908;
09/08/2022;Jaén;Moderna;Dosis administradas;260089;
09/08/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147524;
09/08/2022;Jaén;Janssen;Dosis administradas;21342;
09/08/2022;Jaén;Novavax;Dosis administradas;8;
09/08/2022;Málaga;TOTAL;Dosis administradas;3525383;
09/08/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2501723;
09/08/2022;Málaga;Moderna;Dosis administradas;641837;
09/08/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330195;
09/08/2022;Málaga;Janssen;Dosis administradas;51587;
09/08/2022;Málaga;Novavax;Dosis administradas;41;
09/08/2022;Sevilla;TOTAL;Dosis administradas;4374451;
09/08/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2983127;
09/08/2022;Sevilla;Moderna;Dosis administradas;911101;
09/08/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397693;
09/08/2022;Sevilla;Janssen;Dosis administradas;82518;
09/08/2022;Sevilla;Novavax;Dosis administradas;12;
02/08/2022;Andalucía;TOTAL;Dosis administradas;18680368;
02/08/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12907364;
02/08/2022;Andalucía;Moderna;Dosis administradas;3657584;
02/08/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787438;
02/08/2022;Andalucía;Janssen;Dosis administradas;327888;
02/08/2022;Andalucía;Novavax;Dosis administradas;94;
02/08/2022;Almería;TOTAL;Dosis administradas;1609261;
02/08/2022;Almería;Pfizer/BioNtech;Dosis administradas;1108557;
02/08/2022;Almería;Moderna;Dosis administradas;317801;
02/08/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148071;
02/08/2022;Almería;Janssen;Dosis administradas;34811;
02/08/2022;Almería;Novavax;Dosis administradas;21;
02/08/2022;Cádiz;TOTAL;Dosis administradas;2758784;
02/08/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1888268;
02/08/2022;Cádiz;Moderna;Dosis administradas;554314;
02/08/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;264995;
02/08/2022;Cádiz;Janssen;Dosis administradas;51198;
02/08/2022;Cádiz;Novavax;Dosis administradas;9;
02/08/2022;Córdoba;TOTAL;Dosis administradas;1808113;
02/08/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1260598;
02/08/2022;Córdoba;Moderna;Dosis administradas;337852;
02/08/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183722;
02/08/2022;Córdoba;Janssen;Dosis administradas;25938;
02/08/2022;Córdoba;Novavax;Dosis administradas;3;
02/08/2022;Granada;TOTAL;Dosis administradas;2030878;
02/08/2022;Granada;Pfizer/BioNtech;Dosis administradas;1379622;
02/08/2022;Granada;Moderna;Dosis administradas;418967;
02/08/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201655;
02/08/2022;Granada;Janssen;Dosis administradas;30632;
02/08/2022;Granada;Novavax;Dosis administradas;2;
02/08/2022;Huelva;TOTAL;Dosis administradas;1147179;
02/08/2022;Huelva;Pfizer/BioNtech;Dosis administradas;788004;
02/08/2022;Huelva;Moderna;Dosis administradas;215684;
02/08/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113618;
02/08/2022;Huelva;Janssen;Dosis administradas;29873;
02/08/2022;Huelva;Novavax;Dosis administradas;;
02/08/2022;Jaén;TOTAL;Dosis administradas;1431091;
02/08/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1002144;
02/08/2022;Jaén;Moderna;Dosis administradas;260081;
02/08/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147518;
02/08/2022;Jaén;Janssen;Dosis administradas;21340;
02/08/2022;Jaén;Novavax;Dosis administradas;8;
02/08/2022;Málaga;TOTAL;Dosis administradas;3522967;
02/08/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2499362;
02/08/2022;Málaga;Moderna;Dosis administradas;641806;
02/08/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330177;
02/08/2022;Málaga;Janssen;Dosis administradas;51583;
02/08/2022;Málaga;Novavax;Dosis administradas;39;
02/08/2022;Sevilla;TOTAL;Dosis administradas;4372095;
02/08/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2980809;
02/08/2022;Sevilla;Moderna;Dosis administradas;911079;
02/08/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397682;
02/08/2022;Sevilla;Janssen;Dosis administradas;82513;
02/08/2022;Sevilla;Novavax;Dosis administradas;12;
26/07/2022;Andalucía;TOTAL;Dosis administradas;18666479;
26/07/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12893914;
26/07/2022;Andalucía;Moderna;Dosis administradas;3657293;
26/07/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787317;
26/07/2022;Andalucía;Janssen;Dosis administradas;327866;
26/07/2022;Andalucía;Novavax;Dosis administradas;89;
26/07/2022;Almería;TOTAL;Dosis administradas;1607950;
26/07/2022;Almería;Pfizer/BioNtech;Dosis administradas;1107300;
26/07/2022;Almería;Moderna;Dosis administradas;317768;
26/07/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148054;
26/07/2022;Almería;Janssen;Dosis administradas;34807;
26/07/2022;Almería;Novavax;Dosis administradas;21;
26/07/2022;Cádiz;TOTAL;Dosis administradas;2757130;
26/07/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1886670;
26/07/2022;Cádiz;Moderna;Dosis administradas;554278;
26/07/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;264984;
26/07/2022;Cádiz;Janssen;Dosis administradas;51194;
26/07/2022;Cádiz;Novavax;Dosis administradas;4;
26/07/2022;Córdoba;TOTAL;Dosis administradas;1807019;
26/07/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1259599;
26/07/2022;Córdoba;Moderna;Dosis administradas;337773;
26/07/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183708;
26/07/2022;Córdoba;Janssen;Dosis administradas;25936;
26/07/2022;Córdoba;Novavax;Dosis administradas;3;
26/07/2022;Granada;TOTAL;Dosis administradas;2029279;
26/07/2022;Granada;Pfizer/BioNtech;Dosis administradas;1378061;
26/07/2022;Granada;Moderna;Dosis administradas;418946;
26/07/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201639;
26/07/2022;Granada;Janssen;Dosis administradas;30631;
26/07/2022;Granada;Novavax;Dosis administradas;2;
26/07/2022;Huelva;TOTAL;Dosis administradas;1146335;
26/07/2022;Huelva;Pfizer/BioNtech;Dosis administradas;787197;
26/07/2022;Huelva;Moderna;Dosis administradas;215655;
26/07/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113612;
26/07/2022;Huelva;Janssen;Dosis administradas;29871;
26/07/2022;Huelva;Novavax;Dosis administradas;;
26/07/2022;Jaén;TOTAL;Dosis administradas;1430089;
26/07/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1001162;
26/07/2022;Jaén;Moderna;Dosis administradas;260061;
26/07/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147518;
26/07/2022;Jaén;Janssen;Dosis administradas;21340;
26/07/2022;Jaén;Novavax;Dosis administradas;8;
26/07/2022;Málaga;TOTAL;Dosis administradas;3520067;
26/07/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2496549;
26/07/2022;Málaga;Moderna;Dosis administradas;641754;
26/07/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330149;
26/07/2022;Málaga;Janssen;Dosis administradas;51576;
26/07/2022;Málaga;Novavax;Dosis administradas;39;
26/07/2022;Sevilla;TOTAL;Dosis administradas;4368610;
26/07/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2977376;
26/07/2022;Sevilla;Moderna;Dosis administradas;911058;
26/07/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397653;
26/07/2022;Sevilla;Janssen;Dosis administradas;82511;
26/07/2022;Sevilla;Novavax;Dosis administradas;12;
19/07/2022;Andalucía;TOTAL;Dosis administradas;18649734;
19/07/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12877649;
19/07/2022;Andalucía;Moderna;Dosis administradas;3656972;
19/07/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787184;
19/07/2022;Andalucía;Janssen;Dosis administradas;327840;
19/07/2022;Andalucía;Novavax;Dosis administradas;89;
19/07/2022;Almería;TOTAL;Dosis administradas;1606299;
19/07/2022;Almería;Pfizer/BioNtech;Dosis administradas;1105694;
19/07/2022;Almería;Moderna;Dosis administradas;317751;
19/07/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148034;
19/07/2022;Almería;Janssen;Dosis administradas;34799;
19/07/2022;Almería;Novavax;Dosis administradas;21;
19/07/2022;Cádiz;TOTAL;Dosis administradas;2755180;
19/07/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1884769;
19/07/2022;Cádiz;Moderna;Dosis administradas;554253;
19/07/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;264963;
19/07/2022;Cádiz;Janssen;Dosis administradas;51191;
19/07/2022;Cádiz;Novavax;Dosis administradas;4;
19/07/2022;Córdoba;TOTAL;Dosis administradas;1805500;
19/07/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1258186;
19/07/2022;Córdoba;Moderna;Dosis administradas;337677;
19/07/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183702;
19/07/2022;Córdoba;Janssen;Dosis administradas;25932;
19/07/2022;Córdoba;Novavax;Dosis administradas;3;
19/07/2022;Granada;TOTAL;Dosis administradas;2027308;
19/07/2022;Granada;Pfizer/BioNtech;Dosis administradas;1376139;
19/07/2022;Granada;Moderna;Dosis administradas;418911;
19/07/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201627;
19/07/2022;Granada;Janssen;Dosis administradas;30629;
19/07/2022;Granada;Novavax;Dosis administradas;2;
19/07/2022;Huelva;TOTAL;Dosis administradas;1145223;
19/07/2022;Huelva;Pfizer/BioNtech;Dosis administradas;786128;
19/07/2022;Huelva;Moderna;Dosis administradas;215625;
19/07/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113601;
19/07/2022;Huelva;Janssen;Dosis administradas;29869;
19/07/2022;Huelva;Novavax;Dosis administradas;;
19/07/2022;Jaén;TOTAL;Dosis administradas;1428970;
19/07/2022;Jaén;Pfizer/BioNtech;Dosis administradas;1000054;
19/07/2022;Jaén;Moderna;Dosis administradas;260053;
19/07/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147515;
19/07/2022;Jaén;Janssen;Dosis administradas;21340;
19/07/2022;Jaén;Novavax;Dosis administradas;8;
19/07/2022;Málaga;TOTAL;Dosis administradas;3516758;
19/07/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2493347;
19/07/2022;Málaga;Moderna;Dosis administradas;641694;
19/07/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330105;
19/07/2022;Málaga;Janssen;Dosis administradas;51573;
19/07/2022;Málaga;Novavax;Dosis administradas;39;
19/07/2022;Sevilla;TOTAL;Dosis administradas;4364496;
19/07/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2973332;
19/07/2022;Sevilla;Moderna;Dosis administradas;911008;
19/07/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397637;
19/07/2022;Sevilla;Janssen;Dosis administradas;82507;
19/07/2022;Sevilla;Novavax;Dosis administradas;12;
12/07/2022;Andalucía;TOTAL;Dosis administradas;18627314;
12/07/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12856045;
12/07/2022;Andalucía;Moderna;Dosis administradas;3656333;
12/07/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787045;
12/07/2022;Andalucía;Janssen;Dosis administradas;327804;
12/07/2022;Andalucía;Novavax;Dosis administradas;87;
12/07/2022;Almería;TOTAL;Dosis administradas;1604015;
12/07/2022;Almería;Pfizer/BioNtech;Dosis administradas;1103524;
12/07/2022;Almería;Moderna;Dosis administradas;317669;
12/07/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148009;
12/07/2022;Almería;Janssen;Dosis administradas;34792;
12/07/2022;Almería;Novavax;Dosis administradas;21;
12/07/2022;Cádiz;TOTAL;Dosis administradas;2752644;
12/07/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1882315;
12/07/2022;Cádiz;Moderna;Dosis administradas;554191;
12/07/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;264945;
12/07/2022;Cádiz;Janssen;Dosis administradas;51189;
12/07/2022;Cádiz;Novavax;Dosis administradas;4;
12/07/2022;Córdoba;TOTAL;Dosis administradas;1803432;
12/07/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1256302;
12/07/2022;Córdoba;Moderna;Dosis administradas;337513;
12/07/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183683;
12/07/2022;Córdoba;Janssen;Dosis administradas;25932;
12/07/2022;Córdoba;Novavax;Dosis administradas;2;
12/07/2022;Granada;TOTAL;Dosis administradas;2024707;
12/07/2022;Granada;Pfizer/BioNtech;Dosis administradas;1373579;
12/07/2022;Granada;Moderna;Dosis administradas;418884;
12/07/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201619;
12/07/2022;Granada;Janssen;Dosis administradas;30623;
12/07/2022;Granada;Novavax;Dosis administradas;2;
12/07/2022;Huelva;TOTAL;Dosis administradas;1143722;
12/07/2022;Huelva;Pfizer/BioNtech;Dosis administradas;784752;
12/07/2022;Huelva;Moderna;Dosis administradas;215512;
12/07/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113598;
12/07/2022;Huelva;Janssen;Dosis administradas;29860;
12/07/2022;Huelva;Novavax;Dosis administradas;;
12/07/2022;Jaén;TOTAL;Dosis administradas;1427263;
12/07/2022;Jaén;Pfizer/BioNtech;Dosis administradas;998362;
12/07/2022;Jaén;Moderna;Dosis administradas;260046;
12/07/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147508;
12/07/2022;Jaén;Janssen;Dosis administradas;21339;
12/07/2022;Jaén;Novavax;Dosis administradas;8;
12/07/2022;Málaga;TOTAL;Dosis administradas;3512127;
12/07/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2488872;
12/07/2022;Málaga;Moderna;Dosis administradas;641584;
12/07/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330065;
12/07/2022;Málaga;Janssen;Dosis administradas;51568;
12/07/2022;Málaga;Novavax;Dosis administradas;38;
12/07/2022;Sevilla;TOTAL;Dosis administradas;4359404;
12/07/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2968339;
12/07/2022;Sevilla;Moderna;Dosis administradas;910934;
12/07/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397618;
12/07/2022;Sevilla;Janssen;Dosis administradas;82501;
12/07/2022;Sevilla;Novavax;Dosis administradas;12;
05/07/2022;Andalucía;TOTAL;Dosis administradas;18604655;
05/07/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12834302;
05/07/2022;Andalucía;Moderna;Dosis administradas;3655605;
05/07/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1786901;
05/07/2022;Andalucía;Janssen;Dosis administradas;327765;
05/07/2022;Andalucía;Novavax;Dosis administradas;82;
05/07/2022;Almería;TOTAL;Dosis administradas;1601585;
05/07/2022;Almería;Pfizer/BioNtech;Dosis administradas;1101227;
05/07/2022;Almería;Moderna;Dosis administradas;317559;
05/07/2022;Almería;AstraZeneca/Oxford;Dosis administradas;147994;
05/07/2022;Almería;Janssen;Dosis administradas;34784;
05/07/2022;Almería;Novavax;Dosis administradas;21;
05/07/2022;Cádiz;TOTAL;Dosis administradas;2750179;
05/07/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1879913;
05/07/2022;Cádiz;Moderna;Dosis administradas;554153;
05/07/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;264928;
05/07/2022;Cádiz;Janssen;Dosis administradas;51183;
05/07/2022;Cádiz;Novavax;Dosis administradas;2;
05/07/2022;Córdoba;TOTAL;Dosis administradas;1801196;
05/07/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1254145;
05/07/2022;Córdoba;Moderna;Dosis administradas;337456;
05/07/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183666;
05/07/2022;Córdoba;Janssen;Dosis administradas;25927;
05/07/2022;Córdoba;Novavax;Dosis administradas;2;
05/07/2022;Granada;TOTAL;Dosis administradas;2022012;
05/07/2022;Granada;Pfizer/BioNtech;Dosis administradas;1370933;
05/07/2022;Granada;Moderna;Dosis administradas;418849;
05/07/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201607;
05/07/2022;Granada;Janssen;Dosis administradas;30621;
05/07/2022;Granada;Novavax;Dosis administradas;2;
05/07/2022;Huelva;TOTAL;Dosis administradas;1142361;
05/07/2022;Huelva;Pfizer/BioNtech;Dosis administradas;783575;
05/07/2022;Huelva;Moderna;Dosis administradas;215336;
05/07/2022;Huelva;AstraZeneca/Oxford;Dosis administradas;113594;
05/07/2022;Huelva;Janssen;Dosis administradas;29856;
05/07/2022;Huelva;Novavax;Dosis administradas;;
05/07/2022;Jaén;TOTAL;Dosis administradas;1425724;
05/07/2022;Jaén;Pfizer/BioNtech;Dosis administradas;996908;
05/07/2022;Jaén;Moderna;Dosis administradas;259970;
05/07/2022;Jaén;AstraZeneca/Oxford;Dosis administradas;147500;
05/07/2022;Jaén;Janssen;Dosis administradas;21338;
05/07/2022;Jaén;Novavax;Dosis administradas;8;
05/07/2022;Málaga;TOTAL;Dosis administradas;3507700;
05/07/2022;Málaga;Pfizer/BioNtech;Dosis administradas;2484599;
05/07/2022;Málaga;Moderna;Dosis administradas;641491;
05/07/2022;Málaga;AstraZeneca/Oxford;Dosis administradas;330014;
05/07/2022;Málaga;Janssen;Dosis administradas;51561;
05/07/2022;Málaga;Novavax;Dosis administradas;35;
05/07/2022;Sevilla;TOTAL;Dosis administradas;4353898;
05/07/2022;Sevilla;Pfizer/BioNtech;Dosis administradas;2963002;
05/07/2022;Sevilla;Moderna;Dosis administradas;910791;
05/07/2022;Sevilla;AstraZeneca/Oxford;Dosis administradas;397598;
05/07/2022;Sevilla;Janssen;Dosis administradas;82495;
05/07/2022;Sevilla;Novavax;Dosis administradas;12;
24/06/2022;Andalucía;TOTAL;Dosis administradas;18575748;
24/06/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12807128;
